BioWare Version 5.4.3.0 Export
Device:	Kistler Grande1 9287CA	Kistler Grande1 9287CA	Kistler Grande1 9287CA	Kistler Grande2 9287CA	Kistler Grande2 9287CA	Kistler Grande2 9287CA
Samples (#):	8000	8000	8000	8000	8000	8000
Rate (Hz):	1000.000000	1000.000000	1000.000000	1000.000000	1000.000000	1000.000000
Contact period start (sample #):	0	0	0	3284	3284	3284
Contact period end (sample #):	7999	7999	7999	3323	3323	3323
Contact period start time (s):	0.000000	0.000000	0.000000	3.284000	3.284000	3.284000
Contact period end time (s):	7.999000	7.999000	7.999000	3.323000	3.323000	3.323000
First sample time (s):	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
Normalized force (N):	658.043884	658.043884	658.043884	658.043884	658.043884	658.043884
Normalized length (m):	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000
File Information
Date	Oct 29, 2025  14:13:51
Name	
ID	
Classification	
Description	
abs time (s)	Fx	Fy	Fz	Fx	Fy	Fz
	N	N	N	N	N	N
0.280000	5.403610	3.055667	654.222519	0.214522	0.245992	1.654625
0.281000	5.967646	3.536968	659.065994	-0.105038	-0.033444	-0.564545
0.282000	5.846984	3.457194	657.660828	0.534375	0.405604	4.348898
0.283000	5.766407	3.416863	657.193481	-0.384800	-0.272862	-2.622465
0.284000	5.525082	3.135884	655.004074	0.653771	0.485180	4.666967
0.285000	5.525082	3.015779	655.004868	-0.105038	-0.073462	-0.563725
0.286000	6.250270	3.737289	660.628448	0.454192	0.286009	4.032161
0.287000	6.008540	3.536968	659.223145	0.374302	0.206203	2.764044
0.288000	5.444101	3.136327	655.162003	0.334503	0.245992	2.764044
0.289000	5.484995	3.015338	655.315872	0.334503	0.325798	2.763882
0.290000	5.846984	3.416863	659.691193	-0.105038	-0.153039	-0.405101
0.291000	5.846984	3.296761	658.911255	0.454192	0.445621	4.190694
0.292000	5.646149	3.376534	658.130402	-0.304910	-0.232845	-1.673472
0.293000	5.283352	2.895233	655.317383	0.494283	0.525198	4.348079
0.294000	5.363929	2.975451	655.473022	-0.104745	-0.073462	-0.089275
0.295000	6.129608	3.496637	661.409836	0.214229	0.245992	1.812501
0.296000	5.968454	3.416422	659.537323	0.334503	0.286009	2.764372
0.297000	5.323843	2.935564	655.630157	0.374595	0.206203	2.923159
0.298000	5.363929	2.935120	656.098267	0.334503	0.286009	2.130478
0.299000	5.726726	3.095553	659.222153	-0.225020	-0.272633	-1.991357
0.300000	5.686639	3.175772	659.382584	0.534082	0.645022	4.825500
0.301000	5.606063	3.175772	658.443893	-0.504488	-0.472492	-3.571857
0.302000	5.203179	2.614254	655.162796	0.494283	0.564986	3.556891
0.303000	5.203179	2.733915	655.160324	-0.025148	-0.113021	0.546771
0.304000	6.008945	3.295433	661.254288	0.214229	0.285780	2.130478
0.305000	5.808110	3.255546	659.536530	0.254321	0.126627	1.656518
0.306000	5.324651	2.653697	655.631760	0.174723	0.166185	1.813412
0.307000	5.324651	2.774244	656.256149	0.494283	0.485180	4.032981
0.308000	5.525486	2.774244	658.598557	-0.225020	-0.232845	-1.674620
0.309000	5.606063	2.974565	658.910446	0.653771	0.684810	5.459885
0.310000	5.565977	2.814131	658.289169	-0.384800	-0.352439	-3.256268
0.311000	5.042431	2.373160	654.693787	0.494283	0.564986	3.873300
0.312000	5.082517	2.373160	654.536713	-0.225020	-0.232845	-1.198110
0.313000	5.768023	3.014452	660.160950	0.293826	0.365586	2.922086
0.314000	5.444910	2.773802	658.443893	0.214522	0.166185	1.812501
0.315000	5.042027	2.453376	654.850128	0.294705	0.205974	1.971945
0.316000	5.122603	2.573037	655.942734	0.294119	0.325798	2.764372
0.317000	5.323843	2.452934	656.879730	-0.025148	-0.033444	-0.405101
0.318000	5.404823	2.693584	657.974869	0.653771	0.605234	4.825500
0.319000	5.243670	2.573037	656.411682	-0.544287	-0.352668	-4.208722
0.320000	4.679635	2.171953	653.598740	0.574173	0.645022	4.984125
