BioWare Version 5.4.3.0 Export
Device:	Kistler Grande1 9287CA	Kistler Grande1 9287CA	Kistler Grande1 9287CA	Kistler Grande2 9287CA	Kistler Grande2 9287CA	Kistler Grande2 9287CA
Samples (#):	8000	8000	8000	8000	8000	8000
Rate (Hz):	1000.000000	1000.000000	1000.000000	1000.000000	1000.000000	1000.000000
Contact period start (sample #):	0	0	0	3302	3302	3302
Contact period end (sample #):	7999	7999	7999	3365	3365	3365
Contact period start time (s):	0.000000	0.000000	0.000000	3.302000	3.302000	3.302000
Contact period end time (s):	7.999000	7.999000	7.999000	3.365000	3.365000	3.365000
First sample time (s):	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
Normalized force (N):	658.043884	658.043884	658.043884	658.043884	658.043884	658.043884
Normalized length (m):	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000
File Information
Date	Oct 29, 2025  14:05:40
Name	
ID	
Classification	
Description	
abs time (s)	Fx	Fy	Fz	Fx	Fy	Fz
	N	N	N	N	N	N
0.271000	4.896246	3.394458	658.719772	0.204680	0.201371	1.627046
0.272000	4.292529	2.953043	653.877258	-0.075081	-0.078065	-0.910262
0.273000	4.211952	2.913156	653.720856	0.684020	0.560383	5.587470
0.274000	4.734689	3.153364	657.468483	-0.195063	-0.038277	-2.019519
0.275000	4.896650	3.434345	657.470177	0.804002	0.640189	6.696144
0.276000	4.533854	3.273911	655.284828	-0.195063	-0.197889	-1.860075
0.277000	4.453277	3.153364	655.282417	0.684020	0.600171	4.795043
0.278000	4.131376	2.832940	652.782959	0.004809	-0.038047	0.042919
0.279000	4.815669	3.313798	657.470177	0.204680	0.281177	2.100349
0.280000	5.017313	3.674995	659.344353	0.404259	0.281177	3.053460
0.281000	4.412787	3.033703	654.502380	-0.035283	0.001741	-0.275785
0.282000	4.050395	2.873269	652.781364	0.923398	0.679977	6.696306
0.283000	4.896246	3.515004	659.030861	-0.274660	-0.158101	-2.335436
0.284000	4.614430	3.394458	657.158287	0.843508	0.639960	6.219963
0.285000	4.533854	3.273911	655.438683	-0.075081	-0.118083	-0.592377
0.286000	4.533854	3.273911	655.594933	0.563746	0.600171	4.003763
0.287000	4.412787	3.153807	655.125198	0.204680	0.081317	1.783612
0.288000	4.856160	3.515004	657.626427	0.324076	0.320735	2.418326
0.289000	4.856160	3.555334	657.938957	0.483856	0.440330	3.844319
0.290000	4.332211	3.114363	654.188087	-0.035283	-0.038277	-0.910262
0.291000	4.171462	3.034146	653.093880	0.723819	0.679977	5.904536
0.292000	4.936736	3.836315	659.186325	-0.274660	-0.397519	-2.812857
0.293000	4.855756	3.595221	657.938866	0.723819	0.639960	4.952756
0.294000	4.252038	3.274797	654.345238	-0.155264	-0.158101	-1.384713
0.295000	4.412787	3.395343	654.499817	0.563746	0.480348	3.846049
0.296000	4.735497	3.515447	657.781013	0.324369	0.161123	2.418326
0.297000	4.654517	3.555777	656.217903	0.483856	0.360753	2.892448
0.298000	4.614430	3.515447	656.062363	0.324076	0.400541	2.101497
0.299000	4.332211	3.315127	654.656166	0.004516	-0.078295	-0.117252
0.300000	4.412787	3.195023	654.186409	0.643636	0.560154	4.480273
0.301000	4.856160	3.836315	658.094498	-0.275245	-0.197889	-2.176903
0.302000	4.654517	3.555777	656.218628	0.563453	0.520136	3.686115
0.303000	4.291720	3.114363	653.720680	0.044607	0.081317	1.308741
0.304000	4.412787	3.355014	654.655365	0.444350	0.400541	3.369869
0.305000	4.936332	3.716211	658.091919	0.363875	0.360753	2.418326
0.306000	4.453277	3.595664	655.596542	0.403966	0.360753	3.846049
0.307000	4.492959	3.515447	655.125908	0.403966	0.360524	2.259211
0.308000	4.332211	3.315127	654.811707	-0.075374	-0.038277	-0.593854
0.309000	4.452873	3.475560	655.747192	0.403966	0.480348	2.100678
0.310000	4.774775	3.716211	656.843102	-0.035283	-0.078295	-0.117252
0.311000	4.533450	3.635551	656.218536	0.404259	0.400541	3.054280
0.312000	4.291720	3.274797	654.030006	0.324076	0.241159	1.940905
0.313000	4.452873	3.555334	656.059784	0.403966	0.360753	3.054280
0.314000	4.573536	3.756541	657.467430	0.403966	0.400541	3.053460
0.315000	4.331806	3.475560	654.968758	0.204680	0.041529	1.626718
0.316000	4.130567	3.395343	653.875343	0.403966	0.440559	2.735392
0.317000	4.412383	3.515447	655.432808	0.284278	0.081547	1.625316
0.318000	4.492959	3.635551	658.090240	0.164589	0.241159	1.309398
0.319000	4.210740	3.475560	654.031609	0.124790	0.041529	0.674027
0.320000	4.210740	3.515447	654.654472	0.484149	0.440559	3.686115
